No,US-ID,ユーザー,アクティビティ,サブアクティビティ,ユーザーストーリー,実装ステータス,判定理由,受入基準
1,US-001,EMP_採用担当者,A. 採用計画,3. 採⽤⽬標⼈数の設定,職種・求⼈ごとに「採⽤⽬標⼈数」を登録・確認する,部分実装,既存機能 + 今回拡張で一部のみ対応,- 求⼈票作成画⾯で「採⽤⽬標⼈数」を数値入⼒できる
1,US-001,JS_求職者,P. その他,1. ユーザーアクティビティ・基本情報,会員登録時に基本情報を入力する,部分実装,プロフィール入力基盤は実装済みだが会員登録フロー統合は要追加,- 会員登録時に基本情報（年代・居住地・学歴・職歴・希望職種等）を入力できること
1,US-001,PC_運営者,P. その他,1. 求職者へのアクション,求職者にプラットフォーム内通知・メール通知を送信する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- プラットフォーム内通知・メール通知を求職者に送信できること
1,US-001,RP,A. 採用計画,1. 採用充足率の横断確認,担当する複数官公庁の採用目標人数・充足率・直近の試験日程を一画面で横断確認する,今回実装済,本対応でAPI/画面を追加済み,"- 担当している官公庁一覧が表示される
- 各官公庁の行に「採用目標 / 直近試験日」が表示される
- 試験日程は、カレンダービュー（月・週）と一覧ビューの両方で確認できる
- 閲覧のみができる（編集権限は官公庁の採用担当者のみ）"
2,US-001,EMP_採用担当者,A. 採用計画,4. 母集団形成の計画,過去の採⽤ファネルデータ（エントリー数・各選考通過率・内定承諾率）を参照する,部分実装,既存機能 + 今回拡張で一部のみ対応,"- 採⽤ファネルは、エントリー→⼀次→⼆次→内定→承諾の区分で参照できる
- 採⽤ファネルデータは、エントリー数・各選考通過率・内定承諾率が参照できる
- 年度別（前年度・前々年度 等）に参照できる"
2,US-002,JS_求職者,P. その他,1. ユーザーアクティビティ・基本情報,価値観・思考性に関する設問に回答しプロフィールを蓄積する,今回実装済,価値観プロフィールAPI/画面を追加し回答蓄積を実装,- 価値観・思考性に関する設問への回答をプロフィールとして蓄積できること
2,US-002,PC_運営者,P. その他,1. 求職者へのアクション,送信対象をユーザー属性等の条件で絞り込む,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,- ユーザー属性や登録自治体等の条件で送信対象を絞り込めること
2,US-002,RP,A. 採用計画,1. 採用充足率の横断確認,選択した官公庁の詳細状況を確認する,部分実装,既存機能 + 今回拡張で一部のみ対応,- 官公庁名をクリックすると該当官公庁の詳細ダッシュボードに遷移できる
3,US-001,EMP_採用担当者,A. 採用計画,6. 試験⽇程の設定,「試験⽇程」を登録・確認する,既存実装あり,現行システムの既存機能で対応済み想定（要受入確認）,"- 求人票の作成・編集画面で選考ステップごとに日程（日付・時間帯）を登録できる
- 登録した日程がカレンダービュー（月・週）と一覧ビューの両方で確認できる
- 複数求人が同一日程に重なる場合、カレンダー上で視覚的に識別できる（色分け等）"
3,US-003,JS_求職者,P. その他,1. ユーザーアクティビティ・基本情報,AIが最適な地域・求人・コンテンツのレコメンドを受け取る,今回実装済,本対応でAPI/画面を追加済み,- 蓄積データをもとにAIが最適な地域・求人・コンテンツをレコメンドできること
